ERR793599.177418	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0006 peptidase M24;
ERR793599.632913	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0006 peptidase M24;
ERR793599.767811	eggNOG;metabolism;[H] Coenzyme transport and metabolism;COG0007 Multifunctional enzyme that catalyzes the SAM-dependent methylation of uroporphyrinogen III at position C-2 and C-7 to form precorrin-2 and then position C-12 or C-18 to form trimethylpyrrocorphin 2. It also catalyzes the conversion of precorrin-2 into siroheme. This reaction consists of the NAD- dependent oxidation of precorrin-2 into sirohydrochlorin and its subsequent ferrochelation into siroheme (By similarity);
ERR793599.767811	eggNOG;metabolism;[H] Coenzyme transport and metabolism;COG0007 Multifunctional enzyme that catalyzes the SAM-dependent methylation of uroporphyrinogen III at position C-2 and C-7 to form precorrin-2 and then position C-12 or C-18 to form trimethylpyrrocorphin 2. It also catalyzes the conversion of precorrin-2 into siroheme. This reaction consists of the NAD- dependent oxidation of precorrin-2 into sirohydrochlorin and its subsequent ferrochelation into siroheme (By similarity);
ERR793599.604521	eggNOG;informationStorageAndProcessing;[J] Translation, ribosomal structure and biogenesis;COG0008 Catalyzes the attachment of glutamate to tRNA(Glu) in a two-step reaction glutamate is first activated by ATP to form Glu-AMP and then transferred to the acceptor end of tRNA(Glu) (By similarity);
ERR793599.235411	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0010 hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines;
ERR793599.211080	eggNOG;informationStorageAndProcessing;[J] Translation, ribosomal structure and biogenesis;COG0024 Removes the N-terminal methionine from nascent proteins (By similarity);
ERR793599.748207	eggNOG;metabolism;[G] Carbohydrate transport and metabolism;COG0036 ribulose-phosphate 3-epimerase activity;
ERR793599.1656	eggNOG;metabolism;[G] Carbohydrate transport and metabolism;COG0036 ribulose-phosphate 3-epimerase activity;
ERR793599.636692	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0040 Catalyzes the condensation of ATP and 5-phosphoribose 1- diphosphate to form N'-(5'-phosphoribosyl)-ATP (PR-ATP). Has a crucial role in the pathway because the rate of histidine biosynthesis seems to be controlled primarily by regulation of HisG enzymatic activity (By similarity);
ERR793599.636692	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0040 Catalyzes the condensation of ATP and 5-phosphoribose 1- diphosphate to form N'-(5'-phosphoribosyl)-ATP (PR-ATP). Has a crucial role in the pathway because the rate of histidine biosynthesis seems to be controlled primarily by regulation of HisG enzymatic activity (By similarity);
ERR793599.344177	eggNOG;informationStorageAndProcessing;[J] Translation, ribosomal structure and biogenesis;COG0042 Catalyzes the synthesis of dihydrouridine a modified base found in the D-loop of most tRNAs (By similarity);
ERR793599.344177	eggNOG;informationStorageAndProcessing;[J] Translation, ribosomal structure and biogenesis;COG0042 Catalyzes the synthesis of dihydrouridine a modified base found in the D-loop of most tRNAs (By similarity);
ERR793599.349504	eggNOG;metabolism;[F] Nucleotide transport and metabolism;COG0044 Dihydroorotase;
ERR793599.349504	eggNOG;metabolism;[F] Nucleotide transport and metabolism;COG0044 Dihydroorotase;
ERR793599.40326	eggNOG;informationStorageAndProcessing;[J] Translation, ribosomal structure and biogenesis;COG0051 tRNA binding;
ERR793599.211080	eggNOG;informationStorageAndProcessing;[J] Translation, ribosomal structure and biogenesis;COG0052 30S ribosomal protein S2;
ERR793599.360415	eggNOG;metabolism;[P] Inorganic ion transport and metabolism;COG0053 cation diffusion facilitator family transporter;
ERR793599.87819	eggNOG;metabolism;[P] Inorganic ion transport and metabolism;COG0053 cation diffusion facilitator family transporter;
ERR793599.182012	eggNOG;metabolism;[H] Coenzyme transport and metabolism;COG0054 Catalyzes the formation of 6,7-dimethyl-8- ribityllumazine by condensation of 5-amino-6-(D- ribitylamino)uracil with 3,4-dihydroxy-2-butanone 4-phosphate. This is the penultimate step in the biosynthesis of riboflavin (By similarity);
ERR793599.434732	eggNOG;metabolism;[C] Energy production and conversion;COG0055 Produces ATP from ADP in the presence of a proton gradient across the membrane. The catalytic sites are hosted primarily by the beta subunits (By similarity);
ERR793599.21358	eggNOG;metabolism;[C] Energy production and conversion;COG0056 Produces ATP from ADP in the presence of a proton gradient across the membrane. The alpha chain is a regulatory subunit (By similarity);
ERR793599.514064	eggNOG;metabolism;[G] Carbohydrate transport and metabolism;COG0057 glyceraldehyde3phosphate dehydrogenase;
ERR793599.636757	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0070 glutamate synthase;
ERR793599.636757	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0070 glutamate synthase;
ERR793599.637190	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0070 glutamate synthase;
ERR793599.753908	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0071 response to heat;
ERR793599.756091	eggNOG;informationStorageAndProcessing;[J] Translation, ribosomal structure and biogenesis;COG0072 phenylalanyl-tRNA synthetase (beta subunit);
ERR793599.524052	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0075 aminotransferase;
ERR793599.64803	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0076 decarboxylase;
ERR793599.64877	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0076 decarboxylase;
ERR793599.146184	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0079 Imidazole acetol-phosphate transaminase;
ERR793599.345183	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0079 Imidazole acetol-phosphate transaminase;
ERR793599.345393	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0079 Imidazole acetol-phosphate transaminase;
ERR793599.597304	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0082 5-enolpyruvylshikimate-3-phosphate phospholyase;
ERR793599.400693	eggNOG;informationStorageAndProcessing;[K] Transcription;COG0085 DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity);
ERR793599.590816	eggNOG;informationStorageAndProcessing;[K] Transcription;COG0085 DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity);
ERR793599.400693	eggNOG;informationStorageAndProcessing;[K] Transcription;COG0085 DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity);
ERR793599.590816	eggNOG;informationStorageAndProcessing;[K] Transcription;COG0085 DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity);
ERR793599.261782	eggNOG;informationStorageAndProcessing;[J] Translation, ribosomal structure and biogenesis;COG0092 Binds the lower part of the 30S subunit head. Binds mRNA in the 70S ribosome, positioning it for translation (By similarity);
ERR793599.773838	eggNOG;informationStorageAndProcessing;[J] Translation, ribosomal structure and biogenesis;COG0092 Binds the lower part of the 30S subunit head. Binds mRNA in the 70S ribosome, positioning it for translation (By similarity);
ERR793599.392479	eggNOG;informationStorageAndProcessing;[J] Translation, ribosomal structure and biogenesis;COG0097 This protein binds to the 23S rRNA, and is important in its secondary structure. It is located near the subunit interface in the base of the L7 L12 stalk, and near the tRNA binding site of the peptidyltransferase center (By similarity);
ERR793599.392479	eggNOG;informationStorageAndProcessing;[J] Translation, ribosomal structure and biogenesis;COG0097 This protein binds to the 23S rRNA, and is important in its secondary structure. It is located near the subunit interface in the base of the L7 L12 stalk, and near the tRNA binding site of the peptidyltransferase center (By similarity);
ERR793599.210034	eggNOG;metabolism;[F] Nucleotide transport and metabolism;COG0104 Plays an important role in the de novo pathway of purine nucleotide biosynthesis;
ERR793599.153776	eggNOG;metabolism;[F] Nucleotide transport and metabolism;COG0105 Major role in the synthesis of nucleoside triphosphates other than ATP. The ATP gamma phosphate is transferred to the NDP beta phosphate via a ping-pong mechanism, using a phosphorylated active-site intermediate (By similarity);
ERR793599.213028	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0111 Dehydrogenase;
ERR793599.213028	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0111 Dehydrogenase;
ERR793599.339141	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0112 Catalyzes the reversible interconversion of serine and glycine with tetrahydrofolate (THF) serving as the one-carbon carrier. This reaction serves as the major source of one-carbon groups required for the biosynthesis of purines, thymidylate, methionine, and other important biomolecules. Also exhibits THF- independent aldolase activity toward beta-hydroxyamino acids, producing glycine and aldehydes, via a retro-aldol mechanism (By similarity);
ERR793599.721366	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0112 Catalyzes the reversible interconversion of serine and glycine with tetrahydrofolate (THF) serving as the one-carbon carrier. This reaction serves as the major source of one-carbon groups required for the biosynthesis of purines, thymidylate, methionine, and other important biomolecules. Also exhibits THF- independent aldolase activity toward beta-hydroxyamino acids, producing glycine and aldehydes, via a retro-aldol mechanism (By similarity);
ERR793599.339141	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0112 Catalyzes the reversible interconversion of serine and glycine with tetrahydrofolate (THF) serving as the one-carbon carrier. This reaction serves as the major source of one-carbon groups required for the biosynthesis of purines, thymidylate, methionine, and other important biomolecules. Also exhibits THF- independent aldolase activity toward beta-hydroxyamino acids, producing glycine and aldehydes, via a retro-aldol mechanism (By similarity);
ERR793599.721366	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0112 Catalyzes the reversible interconversion of serine and glycine with tetrahydrofolate (THF) serving as the one-carbon carrier. This reaction serves as the major source of one-carbon groups required for the biosynthesis of purines, thymidylate, methionine, and other important biomolecules. Also exhibits THF- independent aldolase activity toward beta-hydroxyamino acids, producing glycine and aldehydes, via a retro-aldol mechanism (By similarity);
ERR793599.778897	eggNOG;metabolism;[C] Energy production and conversion;COG0114 fumarate hydratase class II;
ERR793599.724731	eggNOG;metabolism;[F] Nucleotide transport and metabolism;COG0127 Pyrophosphatase that hydrolyzes non-canonical purine nucleotides such as XTP and ITP dITP to their respective monophosphate derivatives. Might exclude non-canonical purines from DNA precursor pool, thus preventing their incorporation into DNA and avoiding chromosomal lesions (By similarity);
